iter	Passed	Remaining
249	7825	23477
250	7871	23489
251	7915	23493
252	7967	23525
253	8009	23523
254	8047	23511
255	8074	23467
256	8104	23429
257	8135	23398
258	8170	23376
259	8206	23358
260	8248	23355
261	8278	23318
262	8303	23267
263	8331	23226
264	8368	23209
265	8407	23198
266	8441	23174
267	8481	23165
268	8519	23152
269	8560	23144
270	8585	23095
271	8616	23060
272	8661	23066
273	8703	23060
274	8742	23047
275	8770	23005
276	8812	23000
277	8852	22990
278	8890	22975
279	8932	22970
280	8975	22964
281	9015	22953
282	9051	22933
283	9091	22919
284	9114	22865
285	9141	22821
286	9176	22798
287	9216	22786
288	9253	22765
289	9289	22742
290	9317	22700
291	9343	22655
292	9372	22614
293	9396	22565
294	9427	22530
295	9451	22478
296	9476	22430
297	9510	22403
298	9552	22396
299	9593	22384
300	9631	22366
301	9669	22347
302	9708	22332
303	9743	22308
304	9779	22285
305	9811	22252
306	9847	22228
307	9883	22206
308	9917	22177
309	9949	22146
310	9980	22110
311	10004	22061
312	10029	22013
313	10055	21969
314	10082	21925
315	10111	21887
316	10146	21860
317	10183	21839
318	10212	21801
319	10242	21764
320	10266	21715
321	10292	21672
322	10322	21635
323	10355	21605
324	10399	21598
325	10440	21586
326	10482	21573
327	10518	21549
328	10546	21509
329	10575	21471
330	10618	21461
331	10654	21437
332	10686	21405
333	10714	21365
334	10745	21331
335	10777	21298
336	10816	21279
337	10856	21264
338	10892	21238
339	10927	21212
340	10958	21178
341	10984	21134
342	11009	21087
343	11041	21056
344	11084	21045
345	11136	21049
346	11180	21039
347	11223	21027
348	11271	21024
349	11312	21008
350	11346	20980
351	11378	20947
352	11409	20912
353	11438	20873
354	11464	20830
355	11489	20785
356	11514	20738
357	11554	20720
358	11592	20699
359	11638	20690
360	11680	20675
361	11723	20662
362	11764	20644
363	11808	20631
364	11848	20612
365	11890	20597
366	11931	20579
367	11972	20562
368	12007	20532
369	12032	20487
370	12060	20447
371	12087	20405
372	12114	20364
373	12146	20331
374	12176	20293
375	12205	20255
376	12231	20213
377	12263	20179
378	12292	20141
379	12321	20103
380	12357	20076
381	12388	20042
382	12422	20012
383	12469	20003
384	12513	19988
385	12545	19956
386	12576	19920
387	12606	19884
388	12637	19849
389	12669	19816
390	12701	19782
391	12729	19744
392	12759	19707
393	12787	19668
394	12818	19633
395	12851	19601
396	12884	19570
397	12920	19543
398	12951	19508
399	12976	19464
400	13002	19422
401	13036	19391
